"course_title","all_goals","sustainability_classification"
"Entrepreneurial Finance: Financial Management;for Developing Firms","8,9,10","Inclusive"
"Trading and Exchanges","1,8,9,13","Focused"
"Investments","1,8,9,12,13","Focused"
"Introduction to Forecasting and Risk Analysis","1,8,9,10,17","Inclusive"
"Advanced Practicum in Investment Management","1,8,9,17","Inclusive"
"Law, Finance and Ethics","1,8,9,16","Inclusive"
"Financial Derivatives","1,2,8,10","Inclusive"
"Mergers, Acquisitions and Restructuring","1,8,9,10","Inclusive"
"International Trade, Finance and Commercial Policy","1,7,8,9,10","Inclusive"
"Real Estate Analysis and Computer Modeling","1,8","Inclusive"
"Management of Real Estate Development: Feasibility Studies","8,9,17","Inclusive"
"Advanced Real Estate Analysis","1,8,9,10,11,12","Inclusive"
"Real Estate Capital Markets","1,8,9,10","Inclusive"
"Real Estate Finance Colloquium","8,9,11","Inclusive"
"Investment Banking Fundamentals","8,9,10","Inclusive"
"Quantitative Methods in Finance","8,9,10,17","Inclusive"
"Venture Capital and Private Equity","8,9","Inclusive"
"Money and Capital Markets","1,8,10","Inclusive"
"Macroeconomic Analysis for Business","1,8,9","Inclusive"
"Corporate Financial Policy and Corporate Governance","1,8,9,10","Inclusive"
"Hedge Funds","8,9","Inclusive"
"Forecasting and Risk Analysis","8,9,10","Inclusive"
"High Yield Bond Investing - Managing Credit Risk","8,9,10","Inclusive"
"Applied Portfolio Management","1,8,9,17","Inclusive"
"Investment Analysis and Portfolio Management","1,8,9,12,17","Inclusive"
"Business Law and Ethics","1,4,8,9,10,16","Inclusive"
"Law for Structuring, Financing, and Managing Businesses","1,8,9","Inclusive"
"Management of Financial Risk","2,8,9,10,12,13","Focused"
"Mergers and Acquisitions","8,9,1","Inclusive"
"Economics of Urban Land Use: Feasibility Studies","1,2,8,9,10,11,12,15,17","Focused"
"Advanced Topics in Real Estate Finance","8,9","Inclusive"
"Intermediate Financial Analysis: Practicum","8,9,10,17","Inclusive"
"Advanced Real Estate Law","2,6,7,8,9,10,12,13,14,15","Focused"
"Mortgages and Mortgage-Backed Securities and Markets","1,8,10","Inclusive"
"Fundamentals of Corporate Finance","8,9","Inclusive"
"Advanced Corporate Finance","8,9,10,1,17","Inclusive"
"Fundamentals of Asset Pricing","8,10","Inclusive"
"Selected Topics in Finance Research","8,9,17","Inclusive"
"Leadership in the Food Industry","2,4,8,9","Inclusive"
"Marketing Management in the Food Industry","2,9","Inclusive"
"Communication Management in the Food Industry","2,8,9,17","Inclusive"
"Financial Analysis and Valuation in the Food Industry","2,8,9,10","Inclusive"
"Strategic Management in the Food Industry","2,9","Inclusive"
"French 120 Language Practicum","4,17","Inclusive"
"French 150 Language Practicum","4,17","Inclusive"
"Course in Reading French I","4,8,9,10,17","Inclusive"
"French I","4","Inclusive"
"French II","","Not Related"
"French III","11","Inclusive"
"Intermediate Conversational French","4,8,9,10,11","Inclusive"
"French IV","4,17","Inclusive"
"French Grammar and Composition","4","Inclusive"
"Global Women's Narratives","5,8,10,13,17","Focused"
"The French New Wave and its Legacy","1,11,16","Inclusive"
"Critical Writing in French","9,17","Inclusive"
"Business and Technical French","8,9","Inclusive"
"Equality and Difference around the Enlightenment","1,5,10,16","Inclusive"
"Global Narratives of Illness and Disability","1,3,5,8,10,13,17","Focused"
"Studies in Colonialism and Postcolonialism","17","Inclusive"
"Studies in Gender, Feminism and Sexuality","1,5,10,16","Inclusive"
"France and Islam","5,11","Inclusive"
"Studies in French Civilization","9,11,12","Inclusive"
"Freshman Seminar","4,9,17","Inclusive"
"Geriatric Dentistry Issues","2,3,5","Inclusive"
"GDEN Case Portfolio Preparation for Dental Residents","8,9,11,17","Inclusive"
"Planet Earth","6,8,9,11,12,14,15,17","Focused"
"Oceanography","1,6,8,9,11,12,13,14,15","Focused"
"Crises of a Planet","1,6,7,8,11,12,13,14,15","Focused"
"The History of Life on Earth: A View from the Museum","6,7,8,11,12,13,14,15","Focused"
"Lies, Damn Lies and Statistics","1,4,9","Inclusive"
"Climate Change","7,8,9,11,12,13,15,17","Focused"
"Introduction to Geosystems","6,7,8,9,11,12,13,14,15","Focused"
"Earthquakes","1,11,15","Focused"
"Energy Systems","2,7,8,9,12,13","Focused"
"Introduction to Engineering Geology","8,9,10","Inclusive"
"Minerals and Earth Systems","9","Inclusive"
"Structural Geology and Tectonics","8,9","Inclusive"
"Oceans, Climate, and the Environment","7,8,12,13,14,15,17","Focused"
"Introduction to Field Techniques","4,9","Inclusive"
"Paleontology and Evolution in Deep Time","11","Inclusive"
"Geosystems","7,8,9,12,13,15","Focused"
"Field Geology","11,17","Inclusive"
"Marine Paleoecology","8,12,14,15","Focused"
"Introductory Graduate Seminar in Earth Sciences","8,17","Inclusive"
"Introduction to Atmospheric Science","2,4,6,8,12,13,14,15","Focused"
"Modern Perspectives on Crustal Dynamics","9","Inclusive"
"Advanced Geologic Mapping","9,17","Inclusive"
"Geochemistry Seminar","17","Inclusive"
"Seminar in Sedimentary Geology","17","Inclusive"
"Course in Reading German","8,9,10,17","Inclusive"
"German I","4,9","Inclusive"
"German II","11","Inclusive"
"German III, Conversation and Composition","9,11","Inclusive"
"Twentieth Century German Prose: Texts and Films","11,17","Inclusive"
"Gerontology: The Science of Adult Development","1,4,5,8,9,17","Inclusive"
"Physiology of Aging","3,8,9,17","Inclusive"
"A Journey into the Mind","8","Inclusive"
"Psychology of Adult Development","5,8,9,13,17","Focused"
"Introduction to Psychology and Aging","5,8,9,17","Inclusive"
"Society and Adult Development","1,5,8,9,11,17","Inclusive"
"Policy, Values, and Power in an Aging Society","1,7,16","Inclusive"
"Administrative Problems in Aging","8,9,12,17","Inclusive"
"Diversity in Aging","1,5,8,10","Inclusive"
"Physiology, Nutrition, and Aging","2","Inclusive"
"Neurobiology of Aging","2,3","Inclusive"
"Neuroaffective Disorders of Aging","","Not Related"
"Health Issues in Adulthood","1,5","Inclusive"
"Women and Aging: Psychological, Social, and;Political Implications","1,4,5,8,9,10,16","Inclusive"
"Social and Psychological Aspects of Death and Dying","1,9,17","Inclusive"
"Biodemography of Aging","1,11,15","Focused"
"Ethical Issues in Geriatric Health Care","1,9,12","Inclusive"
"Case Management for Older Adults","5,9","Inclusive"
"Global Health and Aging","1,8,13","Focused"
"Senior Seminar","8,9,17","Inclusive"
"Longevity and Death among Ancient and Modern;European Populations;;;.","1,3,9,11,15","Focused"
"Emotion-Cognition Interactions and Aging","8","Inclusive"
"Practicum in Geriatric Care","1,9,17","Inclusive"
"Nutrition, Genes, Longevity and Diseases","2,3","Inclusive"
"Perspectives on a Changing Society: An Introduction to Aging","1,8,10","Inclusive"
"Applied Legal and Regulatory Issues in Aging","9","Inclusive"
"Marketing and Shifts in Consumer Decision Making","9","Inclusive"
"Current Issues in Aging Services Management","4,8,9,12,15","Focused"
"Housing and Community Policies and Programs","1,4,5,8,9,11","Inclusive"
"Technological Innovations in Aging (Gerontechnology)","4,8,9","Inclusive"
"End of Life Care","1,4,8,10,11","Inclusive"
"The Mind and Body Connection through the Lifespan","1","Inclusive"
"Mindful Aging: Spirituality, Gratitude, and Resilience","5","Inclusive"
"Physiology of Development and Aging","1,8,9,17","Inclusive"
"Fundamentals of Clinical Nutrition Screening and Assessment","2,8,9,13","Focused"
"Communicating Nutrition and Health","1,2","Inclusive"
"Fundamentals of Nutrition: Macronutrients","1,2,12,17","Inclusive"
"Food Production and Food Service Management","2,8,9,17","Inclusive"
"Advanced Therapeutic Nutrition","2,4,9","Inclusive"
"Current Topics in Clinical Nutrition","2,6,9,12,13,14","Focused"
"Recent Advances in Neurobiology and Endocrinology of Aging","4","Inclusive"
"Life Span Developmental Psychology","5,9,10,16,17","Inclusive"
"Counseling Older Adults and Their Families","1,5,10,12","Inclusive"
"Life Span Developmental Sociology","1,4,5","Inclusive"
"Social Policy and Aging","1,8,9,16,17","Inclusive"
"Health Care Delivery Models: Comparative Approaches","1,8,9,10","Inclusive"
"Continuum of Care: Systems Perspective","1,4,8,9,11","Inclusive"
"Administration and System Management in Programs for Older Adults","4,5,9,11","Inclusive"
"Integrating Gerontology: A Multidisciplinary Approach","1,8,10,15","Focused"
"Micronutrients, Health, and Longevity","1,2","Inclusive"
"The Aging Family","1,9,10","Inclusive"
"Case Studies in Leadership and Change Management","4,8,9,13","Focused"
"Field Practicum","5,17","Inclusive"
"Geroscience: Molecular and Cellular Biology","3,4,9,17","Inclusive"
"Molecular Genetics of Aging","2,3,9","Inclusive"
"Seminar on Discoveries in Biogerontology","8,10,17","Inclusive"
"Seminar on Discoveries of Biogerontology","8,10,17","Inclusive"
"Research Integrity","9,15,17","Focused"
"The Aging Society","1,8,9,10,17","Inclusive"
"Laboratory Rotations in the Biology of Aging","4,17","Inclusive"
"Mass Spectrometry","9,17","Inclusive"
"Current Research in Alzheimers Disease and Related Dementias","3,17","Inclusive"
"Politics and Policy Processes in an Aging Society","1,10,16","Inclusive"
"Research Training Grant Proposal Development in Gerontology","1,8,9,17","Inclusive"
"Seminar in the Arts","4,9,11,17","Inclusive"
"Seminar in Humanistic Inquiry","4,9,11,17","Inclusive"
"Seminar in Social Analysis","1,4,8,9,11,16,17","Inclusive"
"Seminar in the Life Sciences","4,8,9,13,14,15,17","Focused"
"Seminar in Quantitative Reasoning","4,17,8,9","Inclusive"
"Global Policy Challenges and Solutions","1,8,9,13","Focused"
"Public Policy Capstone","1,8,13,17","Focused"
"Greek I","4","Inclusive"
"The Role of the Manager","4","Inclusive"
"Management Communication for Leaders","4,8,9,17","Inclusive"
"Contemporary Issues in Competitive Global Strategy","8,9,13","Focused"
"Fundamentals of Business","4,8,9,10","Inclusive"
"Applied Managerial Statistics","8,9,10","Inclusive"
"Marketing Management","8,9,10,12,17","Inclusive"
"Accounting Concepts and Financial Reporting","1,8,9,10","Inclusive"
"Microeconomics for Management","8,9","Inclusive"
"Strategic Formulation for Competitive Advantage","2,4,7,8,9,10,12,13,15","Focused"
"Business Fundamentals for Non-Business Professionals","8,9","Inclusive"
"Managerial Perspectives","4,8,9,12,15,17,10","Focused"
"Communication for Management","8,9,10,17","Inclusive"
"Communication for Accounting and Tax Professionals","1,8,9,10,17","Inclusive"
"Managerial Statistics","8,9,10","Inclusive"
"Opportunity Recognition and Implementation","4,8,9,10,17","Inclusive"
"Managing Inside the Firm","1,4,8,9,10","Inclusive"
"Managing Outside the Firm","4,8,9,10","Inclusive"
"Business Environment and Leadership","4,8,9,10","Inclusive"
"Contemporary Issues in Competitive Strategy","8,9,10,12,13,17","Focused"
"Foundations of Your Professional Value","1,8","Inclusive"
"The Firm in the National Economy","1,8,9,10","Inclusive"
"Data Driven Decision Making","8,9,10","Inclusive"
"Corporate Finance","8,9,10,1","Inclusive"
"The Firm in the National and International Economy","1,8,9,10","Inclusive"
"Entrepreneurship","4,8,9,10,17","Inclusive"
"Problem Solving and Decision Making: An;Integrative Approach","8,9","Inclusive"
"Management and Organization of the Creative Industries","8,9","Inclusive"
"The Perspective of Top Management","4,6,7,8,9,10,12,13,14,15","Focused"
"Evaluating Market Performance","8,9,10","Inclusive"
"Management of Operations","8,9,10","Inclusive"
"Technology and Information Systems Management","8,9,10,17","Inclusive"
"Functional Strategies and Implementation","9,13","Focused"
"The Role of the Senior Executive","1,4,6,7,8,9,10,12,13,14,15,17","Focused"
"Environmental Analysis: Establishing Competitive Advantage","1,6,7,8,9,12,13,14,15,16,17","Focused"
"Strategic Planning for Growth","6,7,8,9,10,12,13,14,15,17","Focused"
"Managing Strategic Change and Implementation","1,4,7,8,9,10,12,13,15,17","Focused"
"The Executive of the Future","8,9,17","Inclusive"
"The Global Context of Business - PRIME","1,8,9,11,13,16","Focused"
"Information Management and Analytics","4,8,9,10,12,17","Inclusive"
"The Global Context and International Business","1,8,9,10,11,13,16","Focused"
"International Business Consulting Project","8,9,17","Inclusive"
"Internship in Business","1,8,9","Inclusive"
"Selected Issues in Economic Theory I","1,8,9,17","Inclusive"
"Regression and Generalized Linear Models for Business Applications","8,9","Inclusive"
"Selected Issues in Economic Theory II","1,8,9,17","Inclusive"
"Designing and Running Experiments","9","Inclusive"
"Dental Treatment of the Geriatric and Special Patient","1,8,9","Inclusive"
"Interactional Skills in Dental Hygiene","6,9","Inclusive"
"The Human Animal","8,9,10,14,15","Focused"
"Nutrition for Life","1,2,3,17","Inclusive"
"The Science of Sport","2,4,8,10","Inclusive"
"The Pharmacology of Performance Enhancing Drugs","1,2,3,8,10","Inclusive"
"Evolution, Ecology, and Culture","2,4,8,10,11,12,14,15","Focused"
"Human Anatomy","8,9,10","Inclusive"
"Nutrition and Metabolism","2,7,8,10,13","Focused"
"Primate Social Behavior and Ecology","1,2,8,9,10,12,14,15","Focused"
"Muscle Physiology","8,9,17","Inclusive"
"Nutrition and Disease","2,3","Inclusive"
"Genetics and Disease","1,2,3","Inclusive"
"Motor Control and Learning","8,9,10","Inclusive"
"Evolutionary Medicine","2,3,6,7,8,11,12,13,14,15","Focused"
"Theory and Method in Human Evolutionary Biology","4,11,17","Inclusive"
"Endocrinology and Metabolism","1,2,3,8,10","Inclusive"
"Metabolic Diseases","1,2,3,8,10,16","Inclusive"
"Applied Human Physiology","1,3,8,9,10,15","Focused"
"Neurobiology of Feeding Behavior and Obesity","1,2,3,7,9,13","Focused"
"Prevention of Athletic Injuries","8,10","Inclusive"
"Evaluation and Rehabilitation of Athletic Injuries","8,10","Inclusive"
"Fundamentals of Healthcare Insurance Design","1,8,9","Inclusive"
"Competitive Healthcare Intelligence and Pricing","1,4,8,9","Inclusive"
"Foundations of Insurance and Global Access","1,2,8,13,15","Focused"
"Foundations of Product Development and Commercialization","1,2,8,9,17","Inclusive"
"Health Economic and Outcomes Methodology","1,8,9,17","Inclusive"
"Healthcare Literature Analysis and Applications","1,8,17","Inclusive"
"Executive Leadership and Healthcare Marketing","1,4,8,9,17","Inclusive"
"Healthcare Innovation: Creativity to Value","1,8,9,12,17","Inclusive"
"Advanced Pricing Strategies","1,8,9,13","Focused"
"Seminars in Healthcare Decision Analysis","1,8,9,13,17","Focused"
"Hebrew I","1,4,11,17","Inclusive"
"Hebrew II","8,9,17","Inclusive"
"Hebrew III","4,8","Inclusive"
"The American Experience","8,9,10,17","Inclusive"
"State and Society in the Ancient World","8,9,11,17","Inclusive"
"Medieval People","11","Inclusive"
"The Emergence of Modern Europe","9,11,16","Inclusive"
"Modern Europe","5,8,9,10,11,16","Inclusive"
"The Korean Past","1,11,16,17","Inclusive"
"Chinese Lives: An Introduction to Chinese History","10,11,16,17","Inclusive"
"Introduction to the History of Japan","1,11,16","Inclusive"
"Histories of South Asia","10,11","Inclusive"
"The Middle East","9,11,17","Inclusive"
"Introduction to Armenian Studies and Armenian;History","11","Inclusive"
"Selected Themes and Topics in History","11,17","Inclusive"
"Approaches to History","8,10,11","Inclusive"
"How to Be An American: Global Histories of U.S. Citizenship","8,10,11,13","Focused"
"Murder on Trial in America","1,11,16","Inclusive"
"Film, Power, and American History","7,11","Inclusive"
"War and the American Experience","1,8,9,11,16","Inclusive"
"History of California","1,8,9,10,11,13,16,17","Focused"
"Dramatizations of Korean History","11","Inclusive"
"Racism, Sexism, and the Law","1,5,10,11,16,17","Inclusive"
"Business and East Asian Culture, 1800-Present","8,9,10,11,16","Inclusive"
"Colonial Latin America","","Not Related"
"Ottomans and Empire: Anatolia, the Middle East, and the Medi","11","Inclusive"
"Britain and Ireland, 11001500 C.E.","8,9,10,11,16,17","Inclusive"
"The Renaissance","","Not Related"
"Early Modern Britain","9,11","Inclusive"
"The Victorians","1,5,9,10,11,13,16","Focused"
"History of the Samurai","8,9,11,17","Inclusive"
"Japan Since 1945","1,8,9,10,11,16","Inclusive"
"The African-American Experience","1,11","Inclusive"
"20th Century U.S. History","1,9,11,12,13,16","Focused"
"Afro-Latin America","1,5,8,10,11,13","Focused"
"Spanish America, 1492-1821","1,5,8,10,16","Inclusive"
"Modern Latin America","9,11","Inclusive"
"History of Mexico","1,5,8,11","Inclusive"
"Law and Society in Premodern China and Japan","8,9,15,17","Focused"
"The Modern Middle East","1,8,9,10,11,16","Inclusive"
"Sex and the City: Constructing Gender in London, 1700-1900","1,5,10,11,16","Inclusive"
"Seminar in Korean History","11,17","Inclusive"
"Britain in the 18th Century","1,11,16","Inclusive"
"Early Modern World History","9,11,13","Focused"
"Mass Violence and Comparative Genocide in Modern;World History","1,5,8,9,10,11,16","Inclusive"
"Advanced Topics in African-American History","9,11","Inclusive"
"20th Century American Thought","1,5,10,16","Inclusive"
"America in the Cold War World, 1945-1991","11","Inclusive"
"Seminar on Selected Historical Topics","9,11,17","Inclusive"
"Introduction to Graduate Historical Studies","11","Inclusive"
"Studies in Modern European History: Europe's 20th Century","9,11","Inclusive"
"Studies in Chinese History","11","Inclusive"
"Studies in Modern East Asian History","9,11","Inclusive"
"Historical Scholarship on North America to 1800","4,11,17","Inclusive"
"Historical Scholarship on 19th Century America","1,4,8,9,11,16,17","Inclusive"
"Historical Scholarship on 20th and 21st Century America","1,4,8,9,11,16,17","Inclusive"
"Seminar in 20th Century United States History","11,17","Inclusive"
"Information Technology and Patient Engagement","1,9,17","Inclusive"
"Leading People and Health Care Organizations","1,4,8,9,13,17","Focused"
"Health Economics, Financing and Reimbursement","1,8,9","Inclusive"
"Managing the Organization's Financial Health","1,8,9,10","Inclusive"
"Managing and Improving Health","1,8,9,17","Inclusive"
"Managing Risk","1,8,10","Inclusive"
"Operations Management for Accountability","16","Inclusive"
"Operational Efficiency Processes in Health Care;Organizations","1,8,9,12,13","Focused"
"Developing & Monitoring of Quality & Patient Safety Outcomes","","Not Related"
"Introduction to Health Promotion and Disease;Prevention","1,3,9","Inclusive"
"Nutrition and Health","1,2,3,8,13","Focused"
"Introduction to Global Health","1,2,3,5,8,9,10,13,4,16,17","Focused"
"Introduction to Research Apprenticeship","1,4,17","Inclusive"
"Theoretical Principles of Health Behavior","1,9,13","Focused"
"Biological and Behavioral Basis of Disease","3,9","Inclusive"
"Health Behavior Statistical Methods","1","Inclusive"
"Health Behavior Research Methods","1,9,17,8","Inclusive"
"Culture, Lifestyle, and Health","1,8,9,10,11,16","Inclusive"
"Introduction to Epidemiology: Methods and Applications","1,3,17","Inclusive"
"Maternal and Child Health","1,5,8,9,10,17","Inclusive"
"Sexually Transmitted Diseases: A Global Public Health Priority","1,2,3,5,8,9,11,13,16","Focused"
"Environmental Health in the Community","1,3,4,6,7,8,9,11,12,13,14,15,17","Focused"
"Environmental Impacts on the Brain","6,7,8,9,12,13,14,15","Focused"
"Issues in Prevention and Cessation of Drug Abuse","5,16","Inclusive"
"Gender and Minority Health Issues","1,5,9,10,15","Focused"
"Violence as a Public Health Issue","1,4,5,6,7,8,9,12,13,14,15,16","Focused"
"Behavior and Education Strategies for Nutrition and Fitness","1,2,3,4,9","Inclusive"
"Clinical Nutrition","2","Inclusive"
"Happiness, Well-Being, and Health","1,9","Inclusive"
"Chronic Disease Epidemiology","1,2,3,9,17","Inclusive"
"Poisons, People, and Politics","1,6,8,9,10,12,13,14,16","Focused"
"Global Environmental Changes and Health","1,6,7,8,9,11,12,13,14,15","Focused"
"Traditional Eastern Medicine and Modern Health","1,3,9","Inclusive"
"Adolescent Health","1,5,8,9,10,11,17","Inclusive"
"Case Studies in Global Health","1,3,6,7,8,11,12,13,14,15,17","Focused"
"Human Resource Strategy","1,8,9","Inclusive"
"Organizational Culture and Employee Outcomes","1,2,7,8,9,11,12,13,15","Focused"
"Leadership in Human Resources","1,4,8,10,13","Focused"
"Organization Design","9","Inclusive"
"Talent Management","1,4,8,12,17","Inclusive"
"Total Rewards","1,8,9","Inclusive"
"Learning and Development","8,9,17","Inclusive"
"Employee Relations","1,8","Inclusive"
"Human Resources Analytics","8,9","Inclusive"
"Management of Diverse and Global Human Resources","5,8,10,12,13,15","Focused"
"Change Management and Organization Development","8,9,13,17","Focused"
"Anticipating the Future of Human Resources","4,8","Inclusive"
"Evolution & Structure in the American Jewish Community","4,11","Inclusive"
"Fund Raising and Financial Resource Development","8,9,10,17","Inclusive"
"Introduction to Jewish Communal Institutions","","Not Related"
"Organizational Development","8,9,17","Inclusive"
"Intensive","8,9,15","Focused"
"Integrative Practices Residential","8,9","Inclusive"
"Professional Practices Residential","9","Inclusive"
"Design Essentials","4,8,9,11","Inclusive"
"Business Essentials","4,8,9","Inclusive"
"Technology Essentials","4,8,9","Inclusive"
"Processes and Perspectives","8,9,17","Inclusive"
"Integrative Project","8,9,17","Inclusive"
"Opportunity and Uncertainty","4,8,9,17","Inclusive"
"Narrative and Storytelling","9","Inclusive"
"Decisions and Solutions","8,9","Inclusive"
"Introduction to Digital Studies","4,8,9,11","Inclusive"
"Workshop in Multimedia Authoring","9","Inclusive"
"The Languages of Digital Media","4,8,9,10,11","Inclusive"
"Media Arts and Practice Studio I","8,9,11,17","Inclusive"
"Media Arts and Practice Studio II","9,15","Focused"
"Fundamentals of Media Design","9","Inclusive"
"Critical Thinking and Procedural Media","9","Inclusive"
"Race, Class and Gender in Digital Culture","1,5,10,11","Inclusive"
"Reading and Writing the Web","9,17","Inclusive"
"Integrative Design for Mobile Devices","9,11","Inclusive"
"Professionalism for Media Arts","8,9,17","Inclusive"
"Sonic Media Art","1,4,9,11","Inclusive"
"Digital Narrative Design I","9","Inclusive"
"Remixing the Archive","1,4,17","Inclusive"
"Methods in Digital Research","9,17","Inclusive"
"Introduction to 3-D Modeling","11","Inclusive"
"Future Cinema","1,11","Inclusive"
"Design Fiction and Speculative Futures","1,9,11,12,16","Inclusive"
"Creative Coding for the Web","8,9,17","Inclusive"
"Tangible and Spatial Computing","9","Inclusive"
"Emotion in Digital Culture","9,11,17","Inclusive"
"New Media for Social Change","1,13","Focused"
"Information Visualization","9","Inclusive"
"Exploring and Creating Sonic Environments","","Not Related"
"Visual Communication and Experience Design","9","Inclusive"
"Digital Narrative Design II","9","Inclusive"
"Hypercinemas Studio","9,11","Inclusive"
"Thesis Project I","9,17","Inclusive"
"Thesis Project II","9,17","Inclusive"
"Advanced Techniques of Spatial Representation","9","Inclusive"
"Nature, Design and Media","5,9,15","Focused"
"The Embedded Story: Designing Digital Landscapes;and Languages","2,4,15","Focused"
"Digital Studies Symposium","9","Inclusive"
"Media Arts Research Lab","17","Inclusive"
"Embodied Storytelling and Immersive Docu-Narratives","","Not Related"
"Mixed Realities: Histories, Theories and Practices","9","Inclusive"
"Digital Media Authorship and the Archive","9,10,11","Inclusive"
"Non-Fiction Cinematic Practice I","4,9","Inclusive"
"Non-Fiction Cinematic Practice II","17","Inclusive"
"Tactical Media Strategies","1,9,11,13","Focused"
"Historical Approaches to Media Arts and Culture","8,9,10,11","Inclusive"
"Seminar in Media and Design Studies","8,9,10,11,17","Inclusive"
"Media Arts and Practice Colloquium/Professional Seminar","8,10,17","Inclusive"
"Cinema to Post-Cinema and Beyond: History, Theory, Practice","9,11","Inclusive"
"Introduction to Data Informatics","9","Inclusive"
"Principles of Programming for Informatics","9","Inclusive"
"Foundations and Policy for Information Security","1,4,9,13,16,17","Focused"
"Computer Systems Assurance","1,4,9","Inclusive"
"Trusted System Design, Analysis and Development","1,8,9,17","Inclusive"
"Secure Systems Administration","1,4,8,9,16,17","Inclusive"
"Computer Forensics","11,15","Focused"
"Security and Privacy in Informatics","1,5,9,15","Focused"
"Introduction to Computational Thinking and Data Science","4,9,12","Inclusive"
"Overview of Data Informatics in Large Data Environments","4,9","Inclusive"
"Foundations of Data Management","9","Inclusive"
"Machine Learning for Data Informatics","9","Inclusive"
"Foundations and Applications of Data Mining","9","Inclusive"
"User Interface Design, Implementation, and Testing","9","Inclusive"
"User Experience Design and Strategy","9","Inclusive"
"Building Knowledge Graphs","","Not Related"
"Introduction to Data Management","9","Inclusive"
"Data Informatics Professional Practicum","9,17","Inclusive"
"Ethics and Accountability in Biomedical Research","4,9,12,16,17","Inclusive"
"Molecular Biology of Cancer","3,4,9","Inclusive"
"Infection and Host Responses","3","Inclusive"
"Cell Biology","4,6,7,8,9,12,13,14,15,17","Focused"
"Protein Chemistry -- Structure and Function","","Not Related"
"Systems Physiology and Disease I","1,2,3,4,9","Inclusive"
"Systems Physiology and Disease II","1,2,3,4,9","Inclusive"
"Medical Biology Seminar","3,4,9,17","Inclusive"
"Writing in the Biomedical and Biological Sciences","4,9,17","Inclusive"
"Student Research Presentation","17","Inclusive"
"Medical Students Elective Program","9,17","Inclusive"
"International Relations","8,9,10,13,17","Focused"
"International Relations: Introductory Analysis","4,8,9,11,17","Inclusive"
"International Relations: Approaches to Research","9,17","Inclusive"
"Historical Approaches to International Relations","11,17","Inclusive"
"The Global Economy","1,8,9,10,13,16","Focused"
"Leadership and Diplomacy","4,8,9","Inclusive"
"National Intelligence and the Shaping of Policy","1,16","Inclusive"
"Managing New Global Challenges","1,8,9,10,11,12,13,15","Focused"
"International Organizations","10,16","Inclusive"
"Contemporary International Politics","10,16","Inclusive"
"Economic Globalization","1,5,8,9,10,13","Focused"
"Peace and Conflict Studies","10,16,17","Inclusive"
"The Political Economy of Africa","1,8,16","Inclusive"
"Financing Development in Mexico","1,8,9,17","Inclusive"
"Politics of Global Environment","1,2,8,10,11,12,13,14,15,16","Focused"
"Multinational Enterprises and World Politics","2,8,9,10,16","Inclusive"
"North-South Relations in the Global Economy","1,5,8,9,10,13,17","Focused"
"U.S. Foreign Economic Policy","1,7,8,9,13,16","Focused"
"The Evolving Global Economic Architecture-Capital Mobility","1,5,8,9,10,13,16","Focused"
"The Global Finance and Monetary Regime","8,9,10,13","Focused"
"Politics of the World Economy","1,8,9,10,16","Inclusive"
"The Global Economy 2030","1,8,9,13","Focused"
"China in International Affairs","1,4,5,8,9,10,11,16","Inclusive"
"Public Health and International Relations","1,2,3,8,10,11,13,16","Focused"
"The Political Economy of China","1,2,4,5,8,9,10,11,12,15,16,17","Focused"
"Foreign Policy Analysis","1,9,17","Inclusive"
"The Politics and Strategy of Weapons of Mass Destruction","1,6,7,8,9,10,12,13,16","Focused"
"Developing Countries in World Politics","9,10,16","Inclusive"
"Russian and Post-Soviet Foreign Policy","1,8,9,16","Inclusive"
"Communism and Post-Communism: Eastern Europe and the Balkans","1,8,9","Inclusive"
"International Relations of the Pacific Rim","1,8,9,16","Inclusive"
"The International Relations of the Contemporary Middle East","7,10","Inclusive"
"Middle East Political Economy","1,2,7,8,9,10,15,16,17","Focused"
"The Political Economy of Latin American Development","1,8,9,16,17","Inclusive"
"Politics and Democracy in Latin America","10,16","Inclusive"
"Mexico and its Relations with the United States","","Not Related"
"French Foreign Policy: 1945 to the Present","1,11","Inclusive"
"Global Governance and Health: From Global to Local","1,8,13","Focused"
"Global Civil Society: Non-State Actors in World Politics","8,10,13,16","Focused"
"Introduction to International Security","1,9,11","Inclusive"
"Order and Disorder in Global Affairs","2,7,8,9,12,13,15,17","Focused"
"Conflict Mediation and Negotiation","1,9,10,16","Inclusive"
"Asian Security Issues","1,10,16","Inclusive"
"European Foreign Policy and Security Issues","1","Inclusive"
"Islam in France","1,7,10,11","Inclusive"
"Directed International Relations Field Study","4,8,9,10,17","Inclusive"
"Supervised Undergraduate Research Experience","9,17","Inclusive"
"Theories of War","","Not Related"
"Chinese Foreign Policy","1,8,9,16","Inclusive"
"Global Democratization","8,13,16","Focused"
"Applied Data Science for International Relations 1","4,9,17","Inclusive"
"Applied Data Science for International Relations 2","4,9,17","Inclusive"
"Ecological Security and Global Politics","1,2,6,7,8,10,12,13,14,15,16","Focused"
"Citizenship and Migration in International Politics","1,8,9,10,11,16","Inclusive"
"Seminar on Economics and Security","1,2,8,9,10,17","Inclusive"
"The Politics of International Trade","1,5,8,9,10,12,13,15,16","Focused"
"Commercial and Financial Globalization-Trends,;Challenges","1,5,8,9,10,11,13","Focused"
"Comparative Genocide","8,10,11,13,16","Focused"
